HABITAT,DATE,SITE,LABEL,DISTANCE,Density,Percent,AM.UTP,GM.UTP
ELEOCHARIS,11-Jun-93,1,30,2,3983.50,0.83,18.85,16.74813422
ELEOCHARIS,11-Jun-93,1,50,2,1608.00,2.12,26.75,21.69423887
ELEOCHARIS,11-Jun-93,1,75,2,156.00,0.33,28.2,25.70369623
ELEOCHARIS,11-Jun-93,1,C150,2,2285.50,2.29,55.25,52.74428879
ELEOCHARIS,11-Jun-93,1,UC,2,510.00,0.86,10.75,8.6
ELEOCHARIS,11-Jun-93,1,WC,2,5456.50,4.42,9.8,9.391485505
ELEOCHARIS,11-Jun-93,2,30,2,7.50,0.54,21.85,19.79545402
ELEOCHARIS,11-Jun-93,2,50,2,7.00,1.01,26.95,23.95370535
ELEOCHARIS,11-Jun-93,2,75,2,28.00,0.42,44.6,40.15968127
ELEOCHARIS,11-Jun-93,2,C150,2,66.50,0.39,67.7,57.70727857
ELEOCHARIS,11-Jun-93,2,UC,2,368.50,4.37,35.95,17.94658742
ELEOCHARIS,11-Jun-93,2,WC,2,433.00,5.83,8.2,7.707139547
ELEOCHARIS,10-Dec-93,1,30,2,188240.00,12.81,8.6,8.6
ELEOCHARIS,10-Dec-93,1,50,2,235523.00,16.73,11.3,11.3
ELEOCHARIS,10-Dec-93,1,75,2,246819.00,5.96,19.6,19.6
ELEOCHARIS,10-Dec-93,1,C150,4,390525.00,1.48,24,28.4
ELEOCHARIS,10-Dec-93,1,UC,2,296481.00,11.18,8.6,4.7
ELEOCHARIS,10-Dec-93,1,WC,2,584672.00,21.40,4.7,8.6
ELEOCHARIS,10-Dec-93,2,30,2,204144.00,10.31,8,8
ELEOCHARIS,10-Dec-93,2,50,2,89466.00,2.58,11.9,11.9
ELEOCHARIS,10-Dec-93,2,C150,2,39853.00,7.39,12.4,12.4
ELEOCHARIS,10-Dec-93,2,UC,2,177989.00,10.72,1.5,3.1
ELEOCHARIS,10-Dec-93,2,WC,2,612636.00,9.31,3.1,1.5
ELEOCHARIS,07-Jun-94,1,30,2,288789.00,2.49,955.4,549.1611057
ELEOCHARIS,07-Jun-94,1,50,2,1066767.00,1.62,99.75,52.28345819
ELEOCHARIS,07-Jun-94,1,75,2,53806.00,0.37,79.25,79.2180535
ELEOCHARIS,07-Jun-94,1,UC,2,11155.00,2.93,28.25,24.33392693
ELEOCHARIS,07-Jun-94,1,WC,2,1473.00,1.76,14.5,14.4222051
ELEOCHARIS,07-Jun-94,2,30,2,5794.00,1.03,45.5,45.12881563
ELEOCHARIS,07-Jun-94,2,50,2,10710.00,0.50,57.55,57.31003403
ELEOCHARIS,07-Jun-94,2,75,2,18306.00,1.05,211,179.2576637
ELEOCHARIS,07-Jun-94,2,C150,2,17355.00,2.79,110.25,110.2270384
ELEOCHARIS,07-Jun-94,2,UC,2,129829.00,8.41,15.25,15.24335921
ELEOCHARIS,07-Jun-94,2,WC,2,337854.00,25.21,17,16.95022124
ELEOCHARIS,20-Jun-95,1,30,2,2020206.90,18.48,na,na
ELEOCHARIS,20-Jun-95,1,75,2,432129.60,6.62,na,na
ELEOCHARIS,20-Jun-95,1,UC,2,543248.90,2.15,na,na
ELEOCHARIS,20-Jun-95,1,WC,2,444476.40,2.20,na,na
ELEOCHARIS,20-Jun-95,2,30,2,134214.40,4.61,na,na
ELEOCHARIS,20-Jun-95,2,50,2,141470.90,7.86,na,na
ELEOCHARIS,20-Jun-95,2,75,2,129639.00,6.07,na,na
ELEOCHARIS,20-Jun-95,2,C150,2,582052.40,5.99,na,na
ELEOCHARIS,20-Jun-95,2,UC,2,937104.40,4.84,na,na
ELEOCHARIS,22-Jun-96,1,30,2,3559366.60,6.76,26.6875,25.97561733
ELEOCHARIS,22-Jun-96,1,30,4,2595371.50,5.63,25.0125,23.12839607
ELEOCHARIS,22-Jun-96,1,30,6,1398322.60,10.00,16.7,15.79074636
ELEOCHARIS,22-Jun-96,1,50,1,864588.80,28.90,29.625,25.39241703
ELEOCHARIS,22-Jun-96,1,50,2,1003797.30,43.11,22.5375,17.69888733
ELEOCHARIS,22-Jun-96,1,50,4,3568287.30,52.46,14.61428571,13.7337867
ELEOCHARIS,22-Jun-96,1,50,6,2966138.80,40.69,13.725,12.96148119
ELEOCHARIS,22-Jun-96,1,75,1,4468468.90,7.24,54.8375,50.85678383
ELEOCHARIS,22-Jun-96,1,75,2,567256.95,12.46,58.38571429,56.37056478
ELEOCHARIS,22-Jun-96,1,75,4,2966138.80,5.98,29,28.63422022
ELEOCHARIS,22-Jun-96,1,75,6,5508543.60,6.84,25.075,24.49738609
ELEOCHARIS,22-Jun-96,1,UC,2,9534017.70,43.48,13.375,11.53327353
ELEOCHARIS,22-Jun-96,1,UC,4,7485969.50,28.53,10.05,9.687035872
ELEOCHARIS,22-Jun-96,1,WC,4,7473129.00,36.47,9.7125,9.641165515
ELEOCHARIS,22-Jun-96,2,30,2,5084809.40,7.26,44.475,33.81745864
ELEOCHARIS,22-Jun-96,2,30,4,2683649.40,7.84,30.8375,22.43099721
ELEOCHARIS,22-Jun-96,2,30,6,681298.00,11.42,19.825,15.23549044
ELEOCHARIS,22-Jun-96,2,50,1,302667.20,0.64,44.275,36.15867001
ELEOCHARIS,22-Jun-96,2,50,2,556151.00,4.75,60,37.66305036
ELEOCHARIS,22-Jun-96,2,50,4,11150.90,0.39,26.8375,23.59080997
ELEOCHARIS,22-Jun-96,2,50,6,7627214.20,4.61,27.5,22.30415412
ELEOCHARIS,22-Jun-96,2,75,2,14067972.80,6.59,51.8375,42.64022482
ELEOCHARIS,22-Jun-96,2,75,3,2992622.20,7.45,49.575,41.90415635
ELEOCHARIS,22-Jun-96,2,75,4,1355949.20,5.52,34.85,31.35769165
ELEOCHARIS,22-Jun-96,2,75,6,2860205.30,3.02,26.525,24.60821001
ELEOCHARIS,22-Jun-96,2,C150,1,1772992.80,14.53,39.1375,30.00347366
ELEOCHARIS,22-Jun-96,2,C150,2,1337670.50,12.60,30.7375,24.72249517
ELEOCHARIS,22-Jun-96,2,C150,4,737407.40,4.28,23.4625,20.69779745
ELEOCHARIS,22-Jun-96,2,C150,6,4802320.00,1.42,18.65,16.32462027
ELEOCHARIS,22-Jun-96,2,UC,2,2876931.70,40.89,8.4,8.247799731
ELEOCHARIS,22-Jun-96,2,UC,4,2694949.00,28.60,7.5875,7.400340672
ELEOCHARIS,22-Jun-96,2,WC,2,2627151.50,34.77,9.5,8.930639154
ELEOCHARIS,22-Jun-96,2,WC,4,3681190.20,43.51,15.3125,12.91951683
MATS,11-Jun-93,1,30,2,30527.00,0.88,18.85,16.74813422
MATS,11-Jun-93,1,30,4,10902.00,0.22,13.1,13.1
MATS,11-Jun-93,1,50,2,10467.00,0.05,26.75,21.69423887
MATS,11-Jun-93,1,50,4,15045.00,0.35,27.5,27.5
MATS,11-Jun-93,1,75,2,43608.50,1.63,28.2,25.70369623
MATS,11-Jun-93,1,75,4,12428.00,0.23,37.3,37.3
MATS,11-Jun-93,1,C150,4,5337.00,0.07,26.4,26.4
MATS,11-Jun-93,1,UC,2,63089.33,1.47,10.75,8.6
MATS,11-Jun-93,1,UC,4,105639.50,1.53,13.1,13.1
MATS,11-Jun-93,1,WC,2,156993.67,4.16,9.8,9.391485505
MATS,11-Jun-93,1,WC,4,173996.50,7.60,10.5,10.5
MATS,11-Jun-93,2,30,4,65414.50,0.60,25.9,25.9
MATS,11-Jun-93,2,50,2,19189.33,0.29,26.95,23.95370535
MATS,11-Jun-93,2,75,2,33141.67,0.30,44.6,40.15968127
MATS,11-Jun-93,2,75,4,19297.50,0.15,62.5,62.5
MATS,11-Jun-93,2,C150,2,63235.00,0.24,67.7,57.70727857
MATS,11-Jun-93,2,C150,4,39249.00,0.17,42.4,42.4
MATS,11-Jun-93,2,UC,2,101755.00,2.13,35.95,17.94658742
MATS,11-Jun-93,2,UC,4,67590.50,0.95,14.1,14.1
MATS,11-Jun-93,2,WC,2,64325.00,1.38,8.2,7.707139547
MATS,11-Jun-93,2,WC,4,170077.00,1.50,8.4,8.4
MATS,10-Dec-93,1,30,2,831776.00,2.01,8.6,8.6
MATS,10-Dec-93,1,50,2,965293.00,1.49,11.3,11.3
MATS,10-Dec-93,1,75,2,1058623.00,2.35,19.6,19.6
MATS,10-Dec-93,1,C150,2,95297.00,1.68,24,28.4
MATS,10-Dec-93,1,UC,2,194079.00,1.00,8.6,4.7
MATS,10-Dec-93,1,WC,2,1214192.00,5.43,4.7,8.6
MATS,10-Dec-93,2,30,2,738998.00,0.56,8,8
MATS,10-Dec-93,2,50,2,134364.00,0.12,11.9,11.9
MATS,10-Dec-93,2,C150,2,116448.00,0.10,12.4,12.4
MATS,10-Dec-93,2,UC,2,204161.00,1.23,1.5,3.1
MATS,10-Dec-93,2,WC,2,873364.00,0.26,3.1,1.5
MATS,07-Jun-94,1,30,4,3712427.00,5.18,94.5,84.75264008
MATS,07-Jun-94,1,50,2,187272.00,0.64,99.75,52.28345819
MATS,07-Jun-94,1,50,4,83232.00,0.26,37.95,29.10807448
MATS,07-Jun-94,1,75,2,49943.00,0.24,79.25,79.2180535
MATS,07-Jun-94,1,75,4,116535.00,0.49,31.55,31.30175714
MATS,07-Jun-94,1,C150,4,156090.00,0.88,57.9,47.15347283
MATS,07-Jun-94,1,C150,6,219451.00,2.85,40.4,27.91988539
MATS,07-Jun-94,1,UC,2,29718562.00,82.50,28.25,24.33392693
MATS,07-Jun-94,1,UC,4,4691736.00,45.35,12.05,11.7320075
MATS,07-Jun-94,1,WC,2,11856502.00,65.68,14.5,14.4222051
MATS,07-Jun-94,1,WC,4,9478069.00,57.42,15.45,15.14595656
MATS,07-Jun-94,2,30,2,1656441.00,6.82,45.5,45.12881563
MATS,07-Jun-94,2,30,4,624288.00,4.63,59.65,55.42490415
MATS,07-Jun-94,2,50,2,33296.00,0.07,57.55,57.31003403
MATS,07-Jun-94,2,50,4,65407.00,0.28,76,75.64859549
MATS,07-Jun-94,2,75,2,46241.00,0.30,211,179.2576637
MATS,07-Jun-94,2,75,4,83239.00,0.20,135.95,134.1168893
MATS,07-Jun-94,2,C150,2,166489.00,1.10,110.25,110.2270384
MATS,07-Jun-94,2,C150,4,55491.00,0.54,131,96.67698795
MATS,07-Jun-94,2,C150,6,68105.00,0.86,96.7,73.87238997
MATS,07-Jun-94,2,UC,2,561922.00,2.88,15.25,15.24335921
MATS,07-Jun-94,2,UC,4,249705.00,1.90,12.7,12.52517465
MATS,07-Jun-94,2,WC,2,561923.00,2.60,17,16.95022124
MATS,07-Jun-94,2,WC,4,295948.00,2.18,19.9,19.85069268
MATS,20-Jun-95,1,30,2,1775566.00,29.66,14.44444444,11.9123366
MATS,20-Jun-95,1,50,2,260759.30,2.61,20.75555556,14.51314552
MATS,20-Jun-95,1,75,2,244462.10,5.42,19.51111111,15.26657386
MATS,20-Jun-95,1,C150,2,244462.00,6.12,17.08888889,13.92951517
MATS,20-Jun-95,1,UC,2,590783.10,8.81,12.66666667,8.357476535
MATS,20-Jun-95,1,WC,2,349231.50,1.86,9.866666667,8.895542514
MATS,20-Jun-95,2,30,2,162974.70,2.17,22.68888889,14.81231397
MATS,20-Jun-95,2,50,2,72433.20,0.28,33.46666667,14.30299812
MATS,20-Jun-95,2,C150,2,416490.90,6.57,23.02222222,15.43071863
MATS,20-Jun-95,2,UC,2,420303.00,15.34,8.933333333,7.939135102
MATS,20-Jun-95,2,WC,2,434599.10,8.98,7.988888889,6.605025053
MATS,22-Jun-96,1,30,2,407436.70,2.68,26.6875,25.97561733
MATS,22-Jun-96,1,30,6,1739441.10,24.53,16.7,15.79074636
MATS,22-Jun-96,1,50,1,2480049.20,10.16,29.625,25.39241703
MATS,22-Jun-96,1,50,2,631526.80,12.25,22.5375,17.69888733
MATS,22-Jun-96,1,50,4,1344541.00,10.25,14.61428571,13.7337867
MATS,22-Jun-96,1,50,6,2037183.30,13.94,13.725,12.96148119
MATS,22-Jun-96,1,75,1,108649.80,1.00,54.8375,50.85678383
MATS,22-Jun-96,1,75,2,55559.50,1.37,58.38571429,56.37056478
MATS,22-Jun-96,1,C150,0.5,5969420.70,9.12,39.0375,32.13507621
MATS,22-Jun-96,1,UC,4,2883397.90,30.16,10.05,9.687035872
MATS,22-Jun-96,1,WC,4,3938554.30,7.45,9.7125,9.641165515
MATS,22-Jun-96,2,30,2,1018591.60,3.33,44.475,33.81745864
MATS,22-Jun-96,2,30,4,259277.90,1.54,30.8375,22.43099721
MATS,22-Jun-96,2,30,6,432901.40,5.06,19.825,15.23549044
MATS,22-Jun-96,2,50,1,101859.20,0.13,44.275,36.15867001
MATS,22-Jun-96,2,50,2,362165.90,1.81,60,37.66305036
MATS,22-Jun-96,2,50,4,194017.50,2.93,26.8375,23.59080997
MATS,22-Jun-96,2,50,6,713014.10,1.41,27.5,22.30415412
MATS,22-Jun-96,2,75,4,611155.00,2.39,34.85,31.35769165
MATS,22-Jun-96,2,UC,2,3759529.10,69.40,8.4,8.247799731
MATS,22-Jun-96,2,WC,2,1470314.90,26.86,9.5,8.930639154
MATS,20-Aug-96,1,30,2,32594.90,0.21,57.825,43.11268438
MATS,20-Aug-96,1,30,4,132859.80,2.05,17.075,16.46720664
MATS,20-Aug-96,1,50,2,611155.05,1.75,21.95,17.84990364
MATS,20-Aug-96,1,50,4,181083.00,1.54,22.1,18.11027312
MATS,20-Aug-96,1,75,2,88573.20,1.27,41.2125,31.84485318
MATS,20-Aug-96,1,75,4,74079.40,0.66,42.575,23.59230114
MATS,20-Aug-96,1,C150,2,129638.90,2.15,18.6375,17.48522128
MATS,20-Aug-96,1,C150,4,48892.40,0.54,16.5375,15.29986216
MATS,20-Aug-96,1,UC,2,753757.80,13.17,9.8875,9.598336737
MATS,20-Aug-96,1,UC,4,2987868.80,10.17,11.4125,11.14775893
MATS,20-Aug-96,1,WC,2,2750197.40,10.57,9.4875,9.073868889
MATS,20-Aug-96,1,WC,4,2407580.20,18.62,9.0125,8.601068023
MATS,20-Aug-96,2,30,2,45270.70,0.35,18.3125,16.68071593
MATS,20-Aug-96,2,30,4,488924.00,2.04,16.3875,14.86104612
MATS,20-Aug-96,2,50,4,444476.40,3.37,22,18.51093478
MATS,20-Aug-96,2,75,2,302667.20,7.38,51.1125,42.31266161
MATS,20-Aug-96,2,C150,2,724331.80,8.04,17.1625,15.36679227
MATS,20-Aug-96,2,C150,4,250017.90,2.18,14.325,13.40223786
MATS,20-Aug-96,2,UC,2,1076796.90,10.32,9.8,8.764975675
MATS,20-Aug-96,2,UC,4,311569.20,4.55,10.475,10.13894972
MATS,20-Aug-96,2,WC,2,814873.30,5.88,11.2125,10.71088503
MATS,20-Aug-96,2,WC,4,232820.90,0.93,10.725,10.26498217
MATS,24-Jun-97,1,C150,0.5,7945014.80,4.35,na,na
MATS,24-Jun-97,1,30,2,235407.80,0.97,na,na
MATS,24-Jun-97,1,75,0.5,2118670.60,1.73,na,na
MATS,24-Jun-97,1,75,2,605334.50,0.76,na,na
MATS,24-Jun-97,1,UC,2,5762784.00,18.58,na,na
MATS,24-Jun-97,2,30,2,1589003.00,1.24,na,na
MATS,24-Jun-97,2,UC,2,3287592.30,7.52,na,na
MATS,24-Jun-97,2,WC,2,8757171.80,13.55,na,na
PLEXIGLAS,11-Jun-93,1,30,2,3199.50,2.98,18.85,16.74813422
PLEXIGLAS,11-Jun-93,1,50,2,3019.50,1.35,26.75,21.69423887
PLEXIGLAS,11-Jun-93,1,75,2,4231.00,1.35,28.2,25.70369623
PLEXIGLAS,11-Jun-93,1,C150,2,2961.00,3.48,55.25,52.74428879
PLEXIGLAS,11-Jun-93,1,UC,2,13245.00,4.76,10.75,8.6
PLEXIGLAS,11-Jun-93,1,WC,2,22066.50,13.23,9.8,9.391485505
PLEXIGLAS,11-Jun-93,2,30,2,2750.00,2.12,21.85,19.79545402
PLEXIGLAS,11-Jun-93,2,50,2,8917.00,2.38,26.95,23.95370535
PLEXIGLAS,11-Jun-93,2,75,2,13093.00,3.42,44.6,40.15968127
PLEXIGLAS,11-Jun-93,2,C150,2,2216.50,0.99,67.7,57.70727857
PLEXIGLAS,11-Jun-93,2,UC,2,12026.50,5.78,35.95,17.94658742
PLEXIGLAS,11-Jun-93,2,WC,2,21147.50,10.43,8.2,7.707139547
PLEXIGLAS,10-Dec-93,1,30,2,102276.00,1.34,8.6,8.6
PLEXIGLAS,10-Dec-93,1,50,2,350531.00,4.71,11.3,11.3
PLEXIGLAS,10-Dec-93,1,75,2,77601.00,0.92,19.6,19.6
PLEXIGLAS,10-Dec-93,1,C150,2,38976.00,2.79,28.4,28.4
PLEXIGLAS,10-Dec-93,1,UC,2,214187.00,4.23,8.6,8.6
PLEXIGLAS,10-Dec-93,1,WC,2,268620.00,8.38,4.7,4.7
PLEXIGLAS,10-Dec-93,2,30,2,255770.00,0.54,8,8
PLEXIGLAS,10-Dec-93,2,50,2,64360.00,0.58,11.9,11.9
PLEXIGLAS,10-Dec-93,2,75,2,2528.00,0.11,13.5,13.5
PLEXIGLAS,10-Dec-93,2,UC,2,336090.00,5.63,1.5,1.5
PLEXIGLAS,10-Dec-93,2,WC,2,351377.00,1.63,3.1,3.1
PLEXIGLAS,07-Jun-94,1,30,2,11948.00,5.16,955.4,549.1611057
PLEXIGLAS,07-Jun-94,1,30,4,2397.00,1.63,94.5,84.75264008
PLEXIGLAS,07-Jun-94,1,50,2,3948.00,1.27,99.75,52.28345819
PLEXIGLAS,07-Jun-94,1,50,4,27709.00,3.49,37.95,29.10807448
PLEXIGLAS,07-Jun-94,1,75,2,300.00,0.09,79.25,79.2180535
PLEXIGLAS,07-Jun-94,1,75,4,646.00,0.26,31.55,31.30175714
PLEXIGLAS,07-Jun-94,1,75,6,4764.00,3.52,31.15,29.12421673
PLEXIGLAS,07-Jun-94,1,C150,2,108648.00,1.49,105,74.2923953
PLEXIGLAS,07-Jun-94,1,C150,4,234807.50,2.88,57.9,47.15347283
PLEXIGLAS,07-Jun-94,1,C150,6,93289.00,0.91,40.4,27.91988539
PLEXIGLAS,07-Jun-94,1,UC,2,4042.00,9.98,28.25,24.33392693
PLEXIGLAS,07-Jun-94,1,UC,4,855.00,1.29,12.05,11.7320075
PLEXIGLAS,07-Jun-94,1,WC,2,6321.00,4.18,14.5,14.4222051
PLEXIGLAS,07-Jun-94,1,WC,4,1197.00,0.95,15.45,15.14595656
PLEXIGLAS,07-Jun-94,2,30,2,1835.00,2.32,45.5,45.12881563
PLEXIGLAS,07-Jun-94,2,30,4,7208.00,1.30,59.65,55.42490415
PLEXIGLAS,07-Jun-94,2,50,2,6475.50,3.12,57.55,57.31003403
PLEXIGLAS,07-Jun-94,2,50,4,4230.00,0.72,76,75.64859549
PLEXIGLAS,07-Jun-94,2,75,2,4310.00,1.81,211,179.2576637
PLEXIGLAS,07-Jun-94,2,75,4,676.00,0.50,135.95,134.1168893
PLEXIGLAS,07-Jun-94,2,75,6,10458.00,1.71,55.5,50.82282952
PLEXIGLAS,07-Jun-94,2,C150,2,17730.00,1.35,110.25,110.2270384
PLEXIGLAS,07-Jun-94,2,C150,4,39965.00,0.85,131,96.67698795
PLEXIGLAS,07-Jun-94,2,C150,6,26324.00,0.55,96.7,73.87238997
PLEXIGLAS,07-Jun-94,2,UC,2,14177.00,14.75,15.25,15.24335921
PLEXIGLAS,07-Jun-94,2,UC,4,486.00,1.12,12.7,12.52517465
PLEXIGLAS,07-Jun-94,2,WC,2,70511.00,12.48,17,16.95022124
PLEXIGLAS,07-Jun-94,2,WC,4,2115.00,2.64,19.9,19.85069268
PLEXIGLAS,22-Jun-96,1,30,4,5162777.90,7.13,25.0125,23.12839607
PLEXIGLAS,22-Jun-96,1,30,6,2655400.50,25.44,16.7,15.79074636
PLEXIGLAS,22-Jun-96,1,50,2,659975.30,38.82,22.5375,17.69888733
PLEXIGLAS,22-Jun-96,1,50,4,10044068.00,42.24,14.61428571,13.7337867
PLEXIGLAS,22-Jun-96,1,C150,0.5,1118187.30,3.90,39.0375,32.13507621
PLEXIGLAS,22-Jun-96,1,C150,1,2676215.50,22.86,39.0375,32.13507621
PLEXIGLAS,22-Jun-96,1,C150,2,3450406.40,4.47,44.97142857,36.75052985
PLEXIGLAS,22-Jun-96,1,C150,3,1760126.30,6.58,55.625,36.29246592
PLEXIGLAS,22-Jun-96,1,C150,4,3898353.90,12.37,37.725,33.56869917
PLEXIGLAS,22-Jun-96,1,UC,6,2667955.60,21.33,7.95,7.917797482
PLEXIGLAS,22-Jun-96,1,WC,2,5826344.20,48.35,9.525,9.295163527
PLEXIGLAS,22-Jun-96,1,WC,6,1603715.90,29.86,7.925,7.895089574
PLEXIGLAS,22-Jun-96,2,50,1,3672362.40,2.91,44.275,36.15867001
PLEXIGLAS,22-Jun-96,2,50,2,3485554.90,12.30,60,37.66305036
PLEXIGLAS,22-Jun-96,2,50,4,1177039.25,1.58,26.8375,23.59080997
PLEXIGLAS,22-Jun-96,2,75,1,3860688.70,14.26,51.8375,42.64022482
PLEXIGLAS,22-Jun-96,2,75,2,6900812.80,15.43,49.575,41.90415635
PLEXIGLAS,22-Jun-96,2,75,4,1032172.90,3.09,34.85,31.35769165
PLEXIGLAS,22-Jun-96,2,C150,0.5,16101896.60,4.55,39.1375,30.00347366
PLEXIGLAS,22-Jun-96,2,C150,1,3813607.10,2.48,39.1375,30.00347366
PLEXIGLAS,22-Jun-96,2,C150,6,11955355.50,12.99,18.65,16.32462027
PLEXIGLAS,22-Jun-96,2,UC,2,10769908.90,39.04,8.4,8.247799731
PLEXIGLAS,22-Jun-96,2,UC,6,10593353.00,14.79,6.075,5.979804514
PLEXIGLAS,22-Jun-96,2,WC,2,2025199.90,50.17,9.5,8.930639154
PLEXIGLAS,22-Jun-96,2,WC,4,1883262.80,31.87,15.3125,12.91951683
PLEXIGLAS,22-Jun-96,2,WC,6,4413897.10,15.99,14.875,12.88571326
SEDIMENT,11-Jun-93,1,30,2,42692.00,0.45,18.85,16.74813422
SEDIMENT,11-Jun-93,1,C150,2,53365.00,1.40,55.25,52.74428879
SEDIMENT,11-Jun-93,1,UC,2,74711.50,0.85,10.75,8.6
SEDIMENT,11-Jun-93,1,WC,2,116436.00,2.22,9.8,9.391485505
SEDIMENT,11-Jun-93,2,50,2,19212.00,0.14,26.95,23.95370535
SEDIMENT,11-Jun-93,2,75,2,64038.50,0.81,44.6,40.15968127
SEDIMENT,11-Jun-93,2,C150,2,42692.00,0.99,67.7,57.70727857
SEDIMENT,11-Jun-93,2,UC,2,12032.00,0.26,35.95,17.94658742
SEDIMENT,11-Jun-93,2,WC,2,111776.00,2.58,8.2,7.707139547
SEDIMENT,10-Dec-93,1,30,2,266853.00,2.51,8.2,7.707139547
SEDIMENT,10-Dec-93,1,50,2,133425.00,0.65,11.3,11.3
SEDIMENT,10-Dec-93,1,75,2,213451.00,0.38,19.6,19.6
SEDIMENT,10-Dec-93,1,C150,2,213481.00,1.66,28.4,28.4
SEDIMENT,10-Dec-93,1,UC,2,256157.00,0.69,8.6,8.6
SEDIMENT,10-Dec-93,1,WC,2,251604.00,1.39,4.7,4.7
SEDIMENT,10-Dec-93,2,30,2,106725.00,0.19,8,8
SEDIMENT,10-Dec-93,2,50,2,133427.00,0.89,11.9,11.9
SEDIMENT,10-Dec-93,2,75,2,133425.00,0.81,13.5,13.5
SEDIMENT,10-Dec-93,2,C150,2,62612.00,0.08,12.4,12.4
SEDIMENT,10-Dec-93,2,UC,2,234809.00,1.42,1.5,1.5
SEDIMENT,10-Dec-93,2,WC,2,532299.00,1.39,3.1,3.1
SEDIMENT,07-Jun-94,1,30,2,66595.00,0.28,955.4,549.1611057
SEDIMENT,07-Jun-94,1,30,4,126536.00,1.38,94.5,84.75264008
SEDIMENT,07-Jun-94,1,50,2,95346.00,0.74,99.75,52.28345819
SEDIMENT,07-Jun-94,1,50,4,152225.00,0.74,37.95,29.10807448
SEDIMENT,07-Jun-94,1,75,2,6682.00,0.04,79.25,79.2180535
SEDIMENT,07-Jun-94,1,75,4,97225.00,0.72,31.55,31.30175714
SEDIMENT,07-Jun-94,1,75,6,118209.00,0.63,31.15,29.12421673
SEDIMENT,07-Jun-94,1,C150,2,324769.00,2.87,105,74.2923953
SEDIMENT,07-Jun-94,1,C150,4,409450.00,1.23,57.9,47.15347283
SEDIMENT,07-Jun-94,1,C150,6,279708.00,3.14,40.4,27.91988539
SEDIMENT,07-Jun-94,1,UC,2,464500.00,12.40,28.25,24.33392693
SEDIMENT,07-Jun-94,1,UC,4,388489.00,3.67,12.05,11.7320075
SEDIMENT,07-Jun-94,1,WC,2,401611.00,4.21,14.5,14.4222051
SEDIMENT,07-Jun-94,1,WC,4,322149.00,4.19,15.45,15.14595656
SEDIMENT,07-Jun-94,2,30,2,35908.00,0.21,45.5,45.12881563
SEDIMENT,07-Jun-94,2,30,4,152561.00,0.95,59.65,55.42490415
SEDIMENT,07-Jun-94,2,50,2,52273.00,0.27,57.55,57.31003403
SEDIMENT,07-Jun-94,2,50,4,48284.00,0.15,76,75.64859549
SEDIMENT,07-Jun-94,2,75,2,8102.00,0.22,211,179.2576637
SEDIMENT,07-Jun-94,2,75,4,63651.00,0.81,135.95,134.1168893
SEDIMENT,07-Jun-94,2,75,6,63924.00,0.33,55.5,50.82282952
SEDIMENT,07-Jun-94,2,C150,2,119871.00,0.85,110.25,110.2270384
SEDIMENT,07-Jun-94,2,C150,4,13556.00,0.08,131,96.67698795
SEDIMENT,07-Jun-94,2,C150,6,36620.00,0.09,96.7,73.87238997
SEDIMENT,07-Jun-94,2,UC,2,290298.00,7.49,15.25,15.24335921
SEDIMENT,07-Jun-94,2,UC,4,650852.00,5.86,12.7,12.52517465
SEDIMENT,07-Jun-94,2,WC,2,386871.00,4.45,17,16.95022124
SEDIMENT,07-Jun-94,2,WC,4,416344.00,5.11,19.9,19.85069268
SEDIMENT,20-Jun-95,1,30,2,136782.10,5.79,14.44444444,11.9123366
SEDIMENT,20-Jun-95,1,50,2,291638.80,4.43,20.75555556,14.51314552
SEDIMENT,20-Jun-95,1,75,2,706223.60,7.16,19.51111111,15.26657386
SEDIMENT,20-Jun-95,1,C150,2,115797.80,2.10,17.08888889,13.92951517
SEDIMENT,20-Jun-95,1,UC,2,397250.80,1.93,12.66666667,8.357476535
SEDIMENT,20-Jun-95,1,WC,2,692642.10,7.87,9.866666667,8.895542514
SEDIMENT,20-Jun-95,2,30,2,393855.30,13.81,22.68888889,14.81231397
SEDIMENT,20-Jun-95,2,50,2,40743.80,2.13,33.46666667,14.30299812
SEDIMENT,20-Jun-95,2,75,2,107563.30,3.83,37.05555556,25.28348825
SEDIMENT,20-Jun-95,2,UC,2,175511.10,2.60,8.933333333,7.939135102
SEDIMENT,20-Jun-95,2,WC,2,372513.60,1.90,7.988888889,6.605025053
